Index,Amplitude
0,0.0
1,0.06277657399212623
2,0.12530899990844446
3,0.18735312967314677
4,0.24866481521042513
5,0.30899990844447156
6,0.3681142612994781
7,0.42576372569963683
8,0.4817346720786157
9,0.5358134708700827
10,0.5877559739982299
11,0.6374095889156773
12,0.684530167546617
13,0.728965117343669
14,0.7705008087405011
15,0.8090151676992096
16,0.8443250831629383
17,0.8762779625843073
18,0.9048127689443648
19,0.9297463911862545
20,0.9510483108005005
21,0.9685659352397229
22,0.9822687459944456
23,0.9920957060457167
24,0.9980162968840601
25,1.0
26,0.9980162968840601
27,0.9920957060457167
28,0.9822687459944456
29,0.9685659352397229
30,0.9510483108005005
31,0.9297463911862545
32,0.9048127689443648
33,0.8762779625843073
34,0.8443250831629383
35,0.8090151676992096
36,0.7705008087405011
37,0.728965117343669
38,0.684530167546617
39,0.6374095889156773
40,0.5877559739982299
41,0.5358134708700827
42,0.4817346720786157
43,0.42576372569963683
44,0.3681142612994781
45,0.30899990844447156
46,0.24866481521042513
47,0.18735312967314677
48,0.12530899990844446
49,0.06277657399212623
50,0.0
51,-0.06277657399212623
52,-0.12530899990844446
53,-0.18735312967314677
54,-0.24866481521042513
55,-0.30899990844447156
56,-0.3681142612994781
57,-0.42576372569963683
58,-0.4817346720786157
59,-0.5358134708700827
60,-0.5877559739982299
61,-0.6374095889156773
62,-0.684530167546617
63,-0.728965117343669
64,-0.7705008087405011
65,-0.8090151676992096
66,-0.8443250831629383
67,-0.8762779625843073
68,-0.9048127689443648
69,-0.9297463911862545
70,-0.9510483108005005
71,-0.9685659352397229
72,-0.9822687459944456
73,-0.9920957060457167
74,-0.9980162968840601
75,-1.0
76,-0.9980162968840601
77,-0.9920957060457167
78,-0.9822687459944456
79,-0.9685659352397229
80,-0.9510483108005005
81,-0.9297463911862545
82,-0.9048127689443648
83,-0.8762779625843073
84,-0.8443250831629383
85,-0.8090151676992096
86,-0.7705008087405011
87,-0.728965117343669
88,-0.684530167546617
89,-0.6374095889156773
90,-0.5877559739982299
91,-0.5358134708700827
92,-0.4817346720786157
93,-0.42576372569963683
94,-0.3681142612994781
95,-0.30899990844447156
96,-0.24866481521042513
97,-0.18735312967314677
98,-0.12530899990844446
99,-0.06277657399212623
100,0.0
101,0.06277657399212623
102,0.12530899990844446
103,0.18735312967314677
104,0.24866481521042513
105,0.30899990844447156
106,0.3681142612994781
107,0.42576372569963683
108,0.4817346720786157
109,0.5358134708700827
110,0.5877559739982299
111,0.6374095889156773
112,0.684530167546617
113,0.728965117343669
114,0.7705008087405011
115,0.8090151676992096
116,0.8443250831629383
117,0.8762779625843073
118,0.9048127689443648
119,0.9297463911862545
120,0.9510483108005005
121,0.9685659352397229
122,0.9822687459944456
123,0.9920957060457167
124,0.9980162968840601
125,1.0
126,0.9980162968840601
127,0.9920957060457167
128,0.9822687459944456
129,0.9685659352397229
130,0.9510483108005005
131,0.9297463911862545
132,0.9048127689443648
133,0.8762779625843073
134,0.8443250831629383
135,0.8090151676992096
136,0.7705008087405011
137,0.728965117343669
138,0.684530167546617
139,0.6374095889156773
140,0.5877559739982299
141,0.5358134708700827
142,0.4817346720786157
143,0.42576372569963683
144,0.3681142612994781
145,0.30899990844447156
146,0.24866481521042513
147,0.18735312967314677
148,0.12530899990844446
149,0.06277657399212623
150,0.0
151,-0.06277657399212623
152,-0.12530899990844446
153,-0.18735312967314677
154,-0.24866481521042513
155,-0.30899990844447156
156,-0.3681142612994781
157,-0.42576372569963683
158,-0.4817346720786157
159,-0.5358134708700827
160,-0.5877559739982299
161,-0.6374095889156773
162,-0.684530167546617
163,-0.728965117343669
164,-0.7705008087405011
165,-0.8090151676992096
166,-0.8443250831629383
167,-0.8762779625843073
168,-0.9048127689443648
169,-0.9297463911862545
170,-0.9510483108005005
171,-0.9685659352397229
172,-0.9822687459944456
173,-0.9920957060457167
174,-0.9980162968840601
175,-1.0
176,-0.9980162968840601
177,-0.9920957060457167
178,-0.9822687459944456
179,-0.9685659352397229
180,-0.9510483108005005
181,-0.9297463911862545
182,-0.9048127689443648
183,-0.8762779625843073
184,-0.8443250831629383
185,-0.8090151676992096
186,-0.7705008087405011
187,-0.728965117343669
188,-0.684530167546617
189,-0.6374095889156773
190,-0.5877559739982299
191,-0.5358134708700827
192,-0.4817346720786157
193,-0.42576372569963683
194,-0.3681142612994781
195,-0.30899990844447156
196,-0.24866481521042513
197,-0.18735312967314677
198,-0.12530899990844446
199,-0.06277657399212623
200,0.0
201,0.06277657399212623
202,0.12530899990844446
203,0.18735312967314677
204,0.24866481521042513
205,0.30899990844447156
206,0.3681142612994781
207,0.42576372569963683
208,0.4817346720786157
209,0.5358134708700827
210,0.5877559739982299
211,0.6374095889156773
212,0.684530167546617
213,0.728965117343669
214,0.7705008087405011
215,0.8090151676992096
216,0.8443250831629383
217,0.8762779625843073
218,0.9048127689443648
219,0.9297463911862545
220,0.9510483108005005
221,0.9685659352397229
222,0.9822687459944456
223,0.9920957060457167
224,0.9980162968840601
225,1.0
226,0.9980162968840601
227,0.9920957060457167
228,0.9822687459944456
229,0.9685659352397229
230,0.9510483108005005
231,0.9297463911862545
232,0.9048127689443648
233,0.8762779625843073
234,0.8443250831629383
235,0.8090151676992096
236,0.7705008087405011
237,0.728965117343669
238,0.684530167546617
239,0.6374095889156773
240,0.5877559739982299
241,0.5358134708700827
242,0.4817346720786157
243,0.42576372569963683
244,0.3681142612994781
245,0.30899990844447156
246,0.24866481521042513
247,0.18735312967314677
248,0.12530899990844446
249,0.06277657399212623
250,0.0
251,-0.06277657399212623
252,-0.12530899990844446
253,-0.18735312967314677
254,-0.24866481521042513
255,-0.30899990844447156
256,-0.3681142612994781
257,-0.42576372569963683
258,-0.4817346720786157
259,-0.5358134708700827
260,-0.5877559739982299
261,-0.6374095889156773
262,-0.684530167546617
263,-0.728965117343669
264,-0.7705008087405011
265,-0.8090151676992096
266,-0.8443250831629383
267,-0.8762779625843073
268,-0.9048127689443648
269,-0.9297463911862545
270,-0.9510483108005005
271,-0.9685659352397229
272,-0.9822687459944456
273,-0.9920957060457167
274,-0.9980162968840601
275,-1.0
276,-0.9980162968840601
277,-0.9920957060457167
278,-0.9822687459944456
279,-0.9685659352397229
280,-0.9510483108005005
281,-0.9297463911862545
282,-0.9048127689443648
283,-0.8762779625843073
284,-0.8443250831629383
285,-0.8090151676992096
286,-0.7705008087405011
287,-0.728965117343669
288,-0.684530167546617
289,-0.6374095889156773
290,-0.5877559739982299
291,-0.5358134708700827
292,-0.4817346720786157
293,-0.42576372569963683
294,-0.3681142612994781
295,-0.30899990844447156
296,-0.24866481521042513
297,-0.18735312967314677
298,-0.12530899990844446
299,-0.06277657399212623
300,0.0
301,0.06277657399212623
302,0.12530899990844446
303,0.18735312967314677
304,0.24866481521042513
305,0.30899990844447156
306,0.3681142612994781
307,0.42576372569963683
308,0.4817346720786157
309,0.5358134708700827
310,0.5877559739982299
311,0.6374095889156773
312,0.684530167546617
313,0.728965117343669
314,0.7705008087405011
315,0.8090151676992096
316,0.8443250831629383
317,0.8762779625843073
318,0.9048127689443648
319,0.9297463911862545
320,0.9510483108005005
321,0.9685659352397229
322,0.9822687459944456
323,0.9920957060457167
324,0.9980162968840601
