ZeroCrossIndex
1
150
151
300
301
450
451
600
601
750
751
900
901
1050
1051
1200
1201
1350
1351
1500
1501
1650
1651
1800
1801
1950
1951
2100
2101
2250
2251
2400
2401
2550
2551
2700
2701
2850
2851
3000
3001
3150
3151
3300
3301
3450
3451
3600
3601
3750
3751
3900
3901
4050
4051
4200
4201
4350
4351
4500
4501
4650
4651
4800
4801
4950
4951
5100
5101
5250
5251
5400
5401
5550
5551
5700
5701
5850
5851
6000
6001
6150
6151
6300
6301
6450
6451
6600
6601
6750
6751
6900
6901
7050
7051
7200
7201
7350
7351
7500
7501
7650
7651
7800
7801
7950
7951
8100
8101
8250
8251
8400
8401
8550
8551
8700
8701
8850
8851
9000
9001
9150
9151
9300
9301
9450
9451
9600
9601
9750
9751
9900
9901
10050
10051
10200
10201
10350
10351
10500
10501
10650
10651
10800
10801
10950
10951
11100
11101
11250
11251
11400
11401
11550
11551
11700
11701
11850
11851
12000
12001
12150
12151
12300
12301
12450
12451
12600
12601
12750
12751
12900
12901
13050
13051
13200
13201
13350
13351
13500
13501
13650
13651
13800
13801
13950
13951
14100
14101
14250
14251
14400
14401
14550
14551
14700
14701
14850
14851
15000
15001
15150
15151
15300
15301
15450
15451
15600
15601
15750
15751
15900
15901
16050
16051
16200
16201
16350
16351
16500
16501
16650
16651
16800
16801
16950
16951
17100
17101
17250
17251
17400
17401
17550
17551
17700
17701
17850
17851
18000
18001
18150
18151
18300
18301
18450
18451
18600
18601
18750
18751
18900
18901
19050
19051
19200
19201
19350
19351
19500
19501
19650
19651
19800
19801
19950
19951
20100
20101
20250
20251
20400
20401
20550
20551
20700
20701
20850
20851
21000
21001
21150
21151
21300
21301
21450
21451
21600
21601
21750
21751
21900
21901
22050
22051
22200
22201
22350
22351
22500
22501
22650
22651
22800
22801
22950
22951
23100
23101
23250
23251
23400
23401
23550
23551
23700
23701
23850
23851
24000
24001
24150
24151
24300
24301
24450
24451
24600
24601
24750
24751
24900
24901
25050
25051
25200
25201
25350
25351
25500
25501
25650
25651
25800
25801
25950
25951
26100
26101
26250
26251
26400
26401
26550
26551
26700
26701
26850
26851
27000
27001
27150
27151
27300
27301
27450
27451
27600
27601
27750
27751
27900
27901
28050
28051
28200
28201
28350
28351
28500
28501
28650
28651
28800
28801
28950
28951
29100
29101
29250
29251
29400
29401
29550
29551
29700
29701
29850
29851
